deviceId,sampledAt,temperature,vibration,noise,failureWithinHorizon,failureAt
1,2026-01-01T00:00:00+00:00,35.70,0.195,47.50,false,
2,2026-01-01T00:00:00+00:00,37.40,0.230,49.00,false,
3,2026-01-01T00:00:00+00:00,39.10,0.265,50.50,false,
1,2026-01-01T01:00:00+00:00,35.78,0.199,47.62,false,
2,2026-01-01T01:00:00+00:00,37.48,0.234,49.12,false,
3,2026-01-01T01:00:00+00:00,39.18,0.269,50.62,false,
1,2026-01-01T02:00:00+00:00,35.86,0.203,47.74,false,
2,2026-01-01T02:00:00+00:00,37.56,0.238,49.24,false,
3,2026-01-01T02:00:00+00:00,39.26,0.273,50.74,false,
1,2026-01-01T03:00:00+00:00,35.94,0.207,47.86,false,
2,2026-01-01T03:00:00+00:00,37.64,0.242,49.36,false,
3,2026-01-01T03:00:00+00:00,39.34,0.277,50.86,false,
1,2026-01-01T04:00:00+00:00,36.02,0.211,47.98,false,
2,2026-01-01T04:00:00+00:00,37.72,0.246,49.48,false,
3,2026-01-01T04:00:00+00:00,39.42,0.281,50.98,false,
1,2026-01-01T05:00:00+00:00,36.10,0.215,48.10,false,
2,2026-01-01T05:00:00+00:00,37.80,0.250,49.60,false,
3,2026-01-01T05:00:00+00:00,39.50,0.285,51.10,false,
1,2026-01-01T06:00:00+00:00,36.18,0.219,48.22,false,
2,2026-01-01T06:00:00+00:00,37.88,0.254,49.72,false,
3,2026-01-01T06:00:00+00:00,39.58,0.289,51.22,false,
1,2026-01-01T07:00:00+00:00,36.26,0.223,48.34,false,
2,2026-01-01T07:00:00+00:00,37.96,0.258,49.84,false,
3,2026-01-01T07:00:00+00:00,39.66,0.293,51.34,false,
1,2026-01-01T08:00:00+00:00,36.34,0.227,48.46,false,
2,2026-01-01T08:00:00+00:00,38.04,0.262,49.96,false,
3,2026-01-01T08:00:00+00:00,39.74,0.297,51.46,false,
1,2026-01-01T09:00:00+00:00,36.42,0.231,48.58,false,
2,2026-01-01T09:00:00+00:00,38.12,0.266,50.08,false,
3,2026-01-01T09:00:00+00:00,39.82,0.301,51.58,false,
1,2026-01-01T10:00:00+00:00,36.50,0.235,48.70,false,
2,2026-01-01T10:00:00+00:00,38.20,0.270,50.20,false,
3,2026-01-01T10:00:00+00:00,39.90,0.305,51.70,false,
1,2026-01-01T11:00:00+00:00,36.58,0.239,48.82,false,
2,2026-01-01T11:00:00+00:00,38.28,0.274,50.32,false,
3,2026-01-01T11:00:00+00:00,39.98,0.309,51.82,false,
1,2026-01-01T12:00:00+00:00,36.66,0.195,48.94,false,
2,2026-01-01T12:00:00+00:00,38.36,0.230,50.44,false,
3,2026-01-01T12:00:00+00:00,40.06,0.265,51.94,false,
1,2026-01-01T13:00:00+00:00,36.74,0.199,49.06,false,
2,2026-01-01T13:00:00+00:00,38.44,0.234,50.56,false,
3,2026-01-01T13:00:00+00:00,40.14,0.269,52.06,false,
1,2026-01-01T14:00:00+00:00,36.82,0.203,49.18,false,
2,2026-01-01T14:00:00+00:00,38.52,0.238,50.68,false,
3,2026-01-01T14:00:00+00:00,40.22,0.273,52.18,false,
1,2026-01-01T15:00:00+00:00,36.90,0.207,49.30,false,
2,2026-01-01T15:00:00+00:00,38.60,0.242,50.80,false,
3,2026-01-01T15:00:00+00:00,40.30,0.277,52.30,false,
1,2026-01-01T16:00:00+00:00,36.98,0.211,49.42,false,
2,2026-01-01T16:00:00+00:00,38.68,0.246,50.92,false,
3,2026-01-01T16:00:00+00:00,40.38,0.281,52.42,false,
1,2026-01-01T17:00:00+00:00,37.06,0.215,49.54,false,
2,2026-01-01T17:00:00+00:00,38.76,0.250,51.04,false,
3,2026-01-01T17:00:00+00:00,40.46,0.285,52.54,false,
1,2026-01-01T18:00:00+00:00,37.14,0.219,47.50,false,
2,2026-01-01T18:00:00+00:00,38.84,0.254,49.00,false,
3,2026-01-01T18:00:00+00:00,40.54,0.289,50.50,false,
1,2026-01-01T19:00:00+00:00,37.22,0.223,47.62,false,
2,2026-01-01T19:00:00+00:00,38.92,0.258,49.12,false,
3,2026-01-01T19:00:00+00:00,40.62,0.293,50.62,false,
1,2026-01-01T20:00:00+00:00,37.30,0.227,47.74,false,
2,2026-01-01T20:00:00+00:00,39.00,0.262,49.24,false,
3,2026-01-01T20:00:00+00:00,40.70,0.297,50.74,false,
